mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.5,,1663113432735,1663113561594,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022brrm24p,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022brrm24p&format=geojson,,,,,automatic,0,35,ak,022brrm24p,",ak022brrm24p,",",ak,",",origin,phase-data,",,,0.81,,ml,earthquake,M 1.5 - 
2.6,off the coast of Oregon,1663113386780,1663121255672,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i7sx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i7sx&format=geojson,0.0,1.0,,,reviewed,0,104,us,7000i7sx,",us7000i7sx,",",us,",",dyfi,origin,phase-data,",16.0,2.032,0.38,308.0,ml,earthquake,M 2.6 - off the coast of Oregon
4.7,"272 km WNW of Haveluloto, Tonga",1663113163451,1663114295040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i7sw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i7sw&format=geojson,,,,,reviewed,0,340,us,7000i7sw,",us7000i7sw,",",us,",",origin,phase-data,",78.0,4.873,0.85,121.0,mb,earthquake,"M 4.7 - 272 km WNW of Haveluloto, Tonga"
1.5,Central Alaska,1663112995205,1663113105980,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022brrkfog,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022brrkfog&format=geojson,,,,,automatic,0,35,ak,022brrkfog,",ak022brrkfog,",",ak,",",origin,phase-data,",,,0.6,,ml,earthquake,M 1.5 - Central Alaska
0.7,"95 km WNW of Aleneva, Alaska",1663112885028,1663113043244,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022brrk43a,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022brrk43a&format=geojson,,,,,automatic,0,8,ak,022brrk43a,",ak022brrk43a,",",ak,",",origin,phase-data,",,,0.37,,ml,earthquake,"M 0.7 - 95 km WNW of Aleneva, Alaska"
2.6,"29 km ENE of Valdez, Alaska",1663112538629,1663113435976,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022brriuue,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022brriuue&format=geojson,0.0,1.0,,,automatic,0,104,ak,022brriuue,",ak022brriuue,",",ak,",",dyfi,origin,phase-data,",,,1.39,,ml,earthquake,"M 2.6 - 29 km ENE of Valdez, Alaska"
4.0,"34 km ESE of Clear, Alaska, Alaska",1663112489004,1663304503222,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022brrinwo,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022brrinwo&format=geojson,170.0,3.9,3.536,,reviewed,0,312,ak,022brrinwo,",ak022brrinwo,us7000i7su,",",ak,us,",",dyfi,moment-tensor,origin,phase-data,shakemap,",,,0.91,,ml,earthquake,"M 4.0 - 34 km ESE of Clear, Alaska, Alaska"
1.8,"76 km N of Aleneva, Alaska",1663111836185,1663111962487,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022brrgblu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022brrgblu&format=geojson,,,,,automatic,0,50,ak,022brrgblu,",ak022brrgblu,",",ak,",",origin,phase-data,",,,0.41,,ml,earthquake,"M 1.8 - 76 km N of Aleneva, Alaska"
1.91,"5km NNW of Boron, CA",1663111340560,1663114661820,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40099967,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40099967&format=geojson,0.0,1.0,,,reviewed,0,56,ci,40099967,",ci40099967,",",ci,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",16.0,0.1112,0.15,137.0,ml,quarry blast,"M 1.9 Quarry Blast - 5km NNW of Boron, CA"
2.1,"69 km NNW of Aleneva, Alaska",1663111319430,1663111425200,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022brrefyf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022brrefyf&format=geojson,,,,,automatic,0,68,ak,022brrefyf,",ak022brrefyf,",",ak,",",origin,phase-data,",,,0.25,,ml,earthquake,"M 2.1 - 69 km NNW of Aleneva, Alaska"
4.4,"48 km E of Kainantu, Papua New Guinea",1663110704995,1663116029040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i7sn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i7sn&format=geojson,,,,,reviewed,0,298,us,7000i7sn,",us7000i7sn,",",us,",",origin,phase-data,",15.0,3.155,0.37,220.0,mb,earthquake,"M 4.4 - 48 km E of Kainantu, Papua New Guinea"
2.64,"Island of Hawaii, Hawaii",1663110022370,1663118315214,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73139232,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73139232&format=geojson,1.0,2.0,,,reviewed,0,107,hv,73139232,",hv73139232,us7000i7sl,",",hv,us,",",dyfi,origin,phase-data,",36.0,,0.19,109.0,ml,earthquake,"M 2.6 - Island of Hawaii, Hawaii"
2.31999993,"9 km E of P?hala, Hawaii",1663109763940,1663109947120,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73139227,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73139227&format=geojson,,,,,automatic,0,83,hv,73139227,",hv73139227,",",hv,",",origin,phase-data,",41.0,,0.119999997,158.0,md,earthquake,"M 2.3 - 9 km E of P?hala, Hawaii"
0.89,"14km N of Warner Springs, CA",1663109310570,1663113235688,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40099959,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40099959&format=geojson,1.0,0.0,,,reviewed,0,12,ci,40099959,",ci40099959,",",ci,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",29.0,0.08713,0.13,43.0,ml,earthquake,"M 0.9 - 14km N of Warner Springs, CA"
